index,source,timestamp,values
15638,heart_rate,2017-07-02 10:18:15.868,"['82.0', '1']"
15639,heart_rate,2017-07-02 10:18:15.873,"['86.0', '1']"
15640,heart_rate,2017-07-02 10:18:15.876,"['89.0', '1']"
15641,heart_rate,2017-07-02 10:18:15.885,"['90.0', '1']"
15642,heart_rate,2017-07-02 10:18:15.888,"['89.0', '1']"
15643,heart_rate,2017-07-02 10:18:15.920,"['91.0', '1']"
15644,heart_rate,2017-07-02 10:18:15.940,"['90.0', '1']"
15645,heart_rate,2017-07-02 10:18:15.945,"['87.0', '1']"
15646,heart_rate,2017-07-02 10:18:15.949,"['85.0', '1']"
15647,heart_rate,2017-07-02 10:18:15.954,"['83.0', '1']"
15648,heart_rate,2017-07-02 10:18:15.958,"['82.0', '2']"
15649,heart_rate,2017-07-02 10:18:15.962,"['79.0', '2']"
15650,heart_rate,2017-07-02 10:18:15.967,"['77.0', '2']"
15651,heart_rate,2017-07-02 10:18:15.971,"['76.0', '2']"
15652,heart_rate,2017-07-02 10:18:15.975,"['75.0', '2']"
15653,heart_rate,2017-07-02 10:18:15.988,"['73.0', '2']"
15654,heart_rate,2017-07-02 10:18:15.992,"['72.0', '3']"
15655,heart_rate,2017-07-02 10:18:15.996,"['71.0', '2']"
15656,heart_rate,2017-07-02 10:18:16.016,"['71.0', '1']"
15657,heart_rate,2017-07-02 10:18:16.051,"['72.0', '1']"
15658,heart_rate,2017-07-02 10:18:16.062,"['74.0', '2']"
15659,heart_rate,2017-07-02 10:18:16.068,"['75.0', '2']"
15660,heart_rate,2017-07-02 10:18:16.070,"['77.0', '2']"
15661,heart_rate,2017-07-02 10:18:16.072,"['79.0', '3']"
15662,heart_rate,2017-07-02 10:18:16.075,"['80.0', '3']"
15663,heart_rate,2017-07-02 10:18:16.084,"['83.0', '3']"
15664,heart_rate,2017-07-02 10:18:16.088,"['84.0', '3']"
15665,heart_rate,2017-07-02 10:18:16.092,"['84.0', '2']"
15666,heart_rate,2017-07-02 10:18:16.096,"['84.0', '1']"
15667,heart_rate,2017-07-02 10:18:16.100,"['89.0', '1']"
15668,heart_rate,2017-07-02 10:18:16.105,"['95.0', '1']"
15669,heart_rate,2017-07-02 10:18:16.109,"['97.0', '1']"
15670,heart_rate,2017-07-02 10:18:16.113,"['98.0', '1']"
15671,heart_rate,2017-07-02 10:18:16.137,"['95.0', '1']"
15672,heart_rate,2017-07-02 10:18:16.149,"['93.0', '1']"
15673,heart_rate,2017-07-02 10:18:16.158,"['92.0', '1']"
15674,heart_rate,2017-07-02 10:18:16.188,"['91.0', '1']"
15675,heart_rate,2017-07-02 10:18:16.250,"['90.0', '1']"
15676,heart_rate,2017-07-02 10:18:16.265,"['89.0', '1']"
